high_season,min_diff,delay_15,period_day,TIPOVUELO
1,-10,0,afternoon,I
1,11,0,afternoon,I
1,-14,0,afternoon,I
1,-2,0,afternoon,I
1,-3,0,afternoon,I
1,7,0,afternoon,I
1,9,0,afternoon,I
1,42,1,afternoon,I
1,9,0,afternoon,I
1,4,0,afternoon,I
1,-9,0,afternoon,I
1,-8,0,afternoon,I
1,-7,0,afternoon,I
1,6,0,afternoon,I
1,-5,0,afternoon,I
1,0,0,afternoon,I
1,-9,0,afternoon,I
1,-6,0,afternoon,I
1,1,0,afternoon,I
1,-2,0,afternoon,I
1,-3,0,afternoon,I
1,1,0,afternoon,I
1,-3,0,afternoon,I
1,-4,0,afternoon,I
1,-3,0,afternoon,I
1,-12,0,afternoon,I
1,14,0,afternoon,I
1,-6,0,night,I
1,-1,0,night,I
1,28,1,night,I
1,-1,0,night,I
1,-1,0,night,I
1,-8,0,night,I
1,8,0,night,I
1,12,0,night,I
1,-8,0,night,I
1,-3,0,night,I
1,37,1,night,I
1,4,0,night,I
1,7,0,night,I
1,-3,0,night,I
1,9,0,night,I
1,-1,0,night,I
1,-4,0,night,I
1,3,0,night,I
1,-6,0,night,I
1,8,0,night,I
1,7,0,night,I
1,-7,0,night,I
1,-2,0,night,I
1,-8,0,night,I
1,1,0,night,I
1,-14,0,night,I
1,-10,0,night,I
1,-11,0,night,I
1,-2,0,night,I
1,27,1,morning,I
1,4,0,morning,I
1,-2,0,morning,I
1,15,0,morning,I
1,1,0,night,I
1,3,0,night,I
1,22,1,night,I
1,26,1,night,I
1,4,0,night,I
1,14,0,night,I
1,7,0,night,I
1,87,1,night,I
1,-1,0,night,I
1,-14,0,night,I
1,0,0,night,I
1,27,1,night,I
1,8,0,night,I
1,10,0,night,I
1,5,0,night,I
1,1,0,night,I
1,-9,0,night,I
1,15,0,night,I
1,1,0,night,I
1,21,1,night,I
1,-1,0,night,I
1,-13,0,night,I
1,21,1,night,I
1,-5,0,night,I
1,-2,0,night,I
1,6,0,night,I
1,-1,0,night,I
1,-2,0,night,I
1,-8,0,night,I
1,-6,0,morning,I
1,3,0,morning,I
1,16,1,morning,I
1,65,1,afternoon,I
1,27,1,morning,I
1,0,0,morning,I
1,-2,0,morning,I
1,2,0,morning,I
1,-2,0,morning,I
1,-7,0,morning,I
1,-3,0,morning,I
1,40,1,morning,I
1,11,0,morning,I
1,-3,0,morning,I
1,16,1,morning,I
1,13,0,morning,I
1,1,0,morning,I
1,13,0,morning,I
1,-2,0,morning,I
1,-3,0,morning,I
1,-7,0,morning,I
1,28,1,morning,I
1,0,0,morning,I
1,5,0,morning,I
1,-1,0,morning,I
1,-8,0,morning,I
1,7,0,morning,I
1,-9,0,morning,I
1,3,0,morning,I
1,38,1,afternoon,I
1,6,0,afternoon,I
1,2,0,afternoon,I
1,19,1,afternoon,I
1,15,0,afternoon,I
1,27,1,afternoon,I
1,59,1,afternoon,I
1,14,0,afternoon,I
1,-3,0,afternoon,I
1,14,0,afternoon,I
1,19,1,afternoon,I
1,5,0,afternoon,I
1,13,0,afternoon,I
1,19,1,afternoon,I
1,10,0,afternoon,I
1,37,1,afternoon,I
1,23,1,afternoon,I
1,11,0,afternoon,I
1,7,0,afternoon,I
1,15,0,afternoon,I
1,1,0,afternoon,I
1,15,0,afternoon,I
1,30,1,afternoon,I
1,22,1,afternoon,I
1,37,1,afternoon,I
1,12,0,afternoon,I
1,0,0,afternoon,I
1,6,0,afternoon,I
1,21,1,afternoon,I
1,-2,0,afternoon,I
1,17,1,afternoon,I
1,8,0,morning,I
1,6,0,morning,I
1,5,0,night,I
1,-4,0,night,I
1,-10,0,night,I
1,12,0,night,I
1,-2,0,night,I
1,-13,0,night,I
1,-12,0,night,I
1,-10,0,night,I
1,-14,0,night,I
1,3,0,night,I
1,-6,0,night,I
1,-13,0,night,I
1,-13,0,night,I
1,-9,0,night,I
1,-1,0,night,I
1,3,0,night,I
1,-1,0,night,I
1,-12,0,night,I
1,-8,0,night,I
1,-14,0,night,I
1,1,0,night,I
1,-6,0,night,I
1,-5,0,night,I
1,-7,0,night,I
1,-1,0,night,I
1,-4,0,night,I
1,-14,0,night,I
1,-5,0,night,I
1,32,1,morning,I
1,37,1,afternoon,I
1,10,0,afternoon,I
1,-5,0,afternoon,I
1,6,0,afternoon,I
1,13,0,afternoon,I
1,9,0,afternoon,I
1,2,0,afternoon,I
1,32,1,afternoon,I
1,10,0,afternoon,I
1,26,1,afternoon,I
1,13,0,afternoon,I
1,11,0,afternoon,I
1,6,0,afternoon,I
1,14,0,afternoon,I
1,17,1,afternoon,I
1,10,0,afternoon,I
1,-4,0,afternoon,I
1,10,0,afternoon,I
1,9,0,afternoon,I
1,-6,0,afternoon,I
1,3,0,afternoon,I
1,-3,0,afternoon,I
1,-1,0,afternoon,I
1,1,0,afternoon,I
1,46,1,afternoon,I
1,3,0,afternoon,I
1,51,1,afternoon,I
1,0,0,afternoon,I
1,94,1,afternoon,I
1,68,1,afternoon,I
1,23,1,afternoon,I
1,4,0,afternoon,I
1,-1,0,afternoon,I
1,4,0,afternoon,I
1,-5,0,afternoon,I
1,12,0,afternoon,I
1,5,0,afternoon,I
1,-6,0,afternoon,I
1,0,0,afternoon,I
1,-3,0,morning,I
1,0,0,morning,I
1,3,0,morning,I
1,-1,0,morning,I
1,-5,0,morning,I
1,-9,0,morning,I
1,-2,0,morning,I
1,2,0,morning,I
1,1,0,morning,I
1,-2,0,morning,I
1,-10,0,morning,I
1,1,0,morning,I
1,-1,0,morning,I
1,-2,0,morning,I
1,-6,0,morning,I
1,8,0,morning,I
1,-6,0,morning,I
1,-2,0,morning,I
1,4,0,morning,I
1,-4,0,morning,I
1,-8,0,morning,I
1,-5,0,morning,I
1,1,0,morning,I
1,-1,0,morning,I
1,-7,0,morning,I
1,-3,0,morning,I
1,-1,0,morning,I
1,-3,0,morning,I
1,-11,0,morning,I
1,7,0,morning,I
1,8,0,morning,I
1,-3,0,afternoon,I
1,0,0,afternoon,I
1,-4,0,afternoon,I
1,0,0,afternoon,I
1,0,0,afternoon,I
1,-12,0,afternoon,I
1,8,0,afternoon,I
1,24,1,afternoon,I
1,1,0,afternoon,I
1,-10,0,afternoon,I
1,-9,0,afternoon,I
1,-6,0,afternoon,I
1,-6,0,afternoon,I
1,6,0,afternoon,I
1,-6,0,afternoon,I
1,14,0,afternoon,I
1,0,0,afternoon,I
1,-4,0,afternoon,I
1,-4,0,afternoon,I
1,-10,0,afternoon,I
1,19,1,afternoon,I
1,-2,0,afternoon,I
1,-8,0,afternoon,I
1,3,0,afternoon,I
1,-4,0,afternoon,I
1,-4,0,afternoon,I
1,-1,0,afternoon,I
1,10,0,afternoon,I
1,-9,0,afternoon,I
1,3,0,afternoon,I
1,0,0,afternoon,I
1,-6,0,night,I
1,-6,0,night,I
1,-7,0,night,I
1,-9,0,night,I
1,-4,0,night,I
1,4,0,night,I
1,-2,0,night,I
1,32,1,night,I
1,-8,0,night,I
1,3,0,night,I
1,-9,0,night,I
1,-11,0,night,I
1,-6,0,night,I
1,-13,0,night,I
1,-10,0,night,I
1,-12,0,night,I
1,2,0,night,I
1,-14,0,night,I
1,-10,0,night,I
1,-8,0,night,I
1,-4,0,night,I
1,-14,0,night,I
1,-4,0,night,I
1,-6,0,night,I
1,-2,0,night,I
1,-8,0,night,I
1,-10,0,night,I
1,0,0,night,I
1,8,0,morning,I
1,-7,0,morning,I
1,4,0,morning,I
1,15,0,morning,I
1,-3,0,morning,I
1,6,0,morning,I
1,57,1,morning,I
1,8,0,morning,I
1,26,1,morning,I
1,-1,0,morning,I
1,-5,0,morning,I
1,-2,0,morning,I
1,4,0,morning,I
1,-8,0,morning,I
1,9,0,morning,I
1,2,0,morning,I
1,2,0,morning,I
1,4,0,morning,I
1,-10,0,morning,I
1,-1,0,morning,I
1,6,0,morning,I
1,1,0,morning,I
1,0,0,morning,I
1,-7,0,morning,I
1,7,0,morning,I
1,-2,0,night,I
1,3,0,night,I
1,-3,0,night,I
1,-1,0,night,I
1,4,0,night,I
1,4,0,night,I
1,1,0,night,I
1,-4,0,night,I
1,16,1,night,I
1,4,0,night,I
1,4,0,night,I
1,0,0,night,I
1,16,1,night,I
1,4,0,night,I
1,-4,0,night,I
1,0,0,night,I
1,0,0,night,I
1,9,0,night,I
1,6,0,night,I
1,-7,0,night,I
1,-7,0,night,I
1,-7,0,night,I
1,-1,0,night,I
1,-2,0,night,I
1,8,0,night,I
1,-12,0,night,I
1,-6,0,night,I
1,0,0,night,I
1,1,0,night,I
1,-4,0,night,I
1,6,0,night,I
1,-3,0,night,I
1,-8,0,night,I
1,-5,0,night,I
1,-3,0,night,I
1,-3,0,night,I
1,7,0,night,I
1,58,1,night,I
1,24,1,night,I
1,6,0,night,I
1,13,0,night,I
1,-3,0,night,I
1,-1,0,night,I
1,0,0,night,I
1,-8,0,night,I
1,2,0,night,I
1,-5,0,night,I
1,2,0,night,I
1,-3,0,night,I
1,-8,0,night,I
1,-8,0,night,I
1,0,0,night,I
1,0,0,night,I
1,-14,0,night,I
1,-5,0,night,I
1,-10,0,night,I
1,1,0,night,I
1,-2,0,night,I
1,8,0,night,I
1,5,0,night,I
1,15,0,morning,I
1,-4,0,night,I
1,-6,0,night,I
1,-2,0,night,I
1,-3,0,night,I
1,-1,0,night,I
1,40,1,morning,I
1,-6,0,night,I
1,-5,0,night,I
1,-4,0,night,I
1,-9,0,night,I
1,16,1,night,I
1,3,0,night,I
1,-4,0,night,I
1,-8,0,night,I
1,1,0,night,I
1,0,0,night,I
1,18,1,night,I
1,-1,0,night,I
1,-1,0,night,I
1,-2,0,night,I
1,-4,0,night,I
1,2,0,night,I
1,50,1,night,I
1,-4,0,night,I
1,14,0,night,I
1,-4,0,night,I
1,0,0,night,I
1,1,0,night,I
1,72,1,night,I
1,20,1,night,I
1,5,0,night,I
1,13,0,morning,I
1,-10,0,morning,I
1,-6,0,morning,I
1,3,0,morning,I
1,-9,0,morning,I
1,18,1,morning,I
1,-9,0,morning,I
1,-10,0,morning,I
1,-13,0,morning,I
1,-7,0,morning,I
1,-5,0,morning,I
1,-3,0,morning,I
1,-13,0,morning,I
1,30,1,morning,I
1,-10,0,morning,I
1,0,0,morning,I
1,4,0,morning,I
1,-8,0,morning,I
1,-8,0,morning,I
1,-6,0,morning,I
1,-9,0,morning,I
1,-8,0,morning,I
1,-14,0,morning,I
1,-7,0,morning,I
1,-11,0,morning,I
1,6,0,afternoon,I
1,40,1,afternoon,I
1,29,1,afternoon,I
1,15,0,afternoon,I
1,51,1,afternoon,I
1,34,1,afternoon,I
1,28,1,afternoon,I
1,32,1,afternoon,I
1,41,1,afternoon,I
1,138,1,afternoon,I
1,38,1,afternoon,I
1,27,1,afternoon,I
1,33,1,afternoon,I
1,57,1,afternoon,I
1,7,0,afternoon,I
1,10,0,afternoon,I
1,37,1,afternoon,I
1,38,1,afternoon,I
1,34,1,afternoon,I
1,25,1,afternoon,I
1,15,0,afternoon,I
1,8,0,afternoon,I
1,4,0,afternoon,I
1,-1,0,afternoon,I
1,42,1,afternoon,I
1,7,0,afternoon,I
1,13,0,afternoon,I
1,8,0,afternoon,I
1,-5,0,afternoon,I
1,47,1,afternoon,I
1,33,1,afternoon,I
1,-9,0,night,I
1,13,0,night,I
1,47,1,night,I
1,17,1,night,I
1,-10,0,night,I
1,54,1,night,I
1,2,0,night,I
1,-3,0,night,I
1,-3,0,night,I
1,9,0,night,I
1,14,0,night,I
1,6,0,night,I
1,1,0,night,I
1,-2,0,night,I
1,0,0,night,I
1,-8,0,night,I
1,-8,0,night,I
1,-8,0,night,I
1,-6,0,night,I
1,1,0,night,I
1,-4,0,night,I
1,-2,0,afternoon,I
1,9,0,afternoon,I
1,-2,0,afternoon,I
1,4,0,afternoon,I
1,15,0,afternoon,I
1,1,0,afternoon,I
1,2,0,afternoon,I
1,7,0,afternoon,I
1,-11,0,afternoon,I
1,15,0,afternoon,I
1,0,0,afternoon,I
1,2,0,afternoon,I
1,4,0,afternoon,I
1,3,0,afternoon,I
1,19,1,afternoon,I
1,39,1,afternoon,I
1,3,0,afternoon,I
1,12,0,afternoon,I
1,17,1,afternoon,I
1,65,1,afternoon,I
1,4,0,afternoon,I
1,6,0,afternoon,I
1,9,0,afternoon,I
1,6,0,afternoon,I
1,27,1,afternoon,I
1,2,0,afternoon,I
1,3,0,afternoon,I
1,-7,0,afternoon,I
1,-3,0,afternoon,I
1,4,0,afternoon,I
1,15,0,afternoon,I
1,-1,0,afternoon,I
1,-13,0,afternoon,I
1,-4,0,afternoon,I
1,1,0,afternoon,I
1,-2,0,afternoon,I
1,-6,0,afternoon,I
1,23,1,afternoon,I
1,-4,0,afternoon,I
1,2,0,afternoon,I
1,15,0,afternoon,I
1,2,0,afternoon,I
1,29,1,afternoon,I
1,3,0,afternoon,I
1,0,0,afternoon,I
1,1,0,afternoon,I
1,11,0,afternoon,I
1,-4,0,afternoon,I
1,-8,0,afternoon,I
1,3,0,afternoon,I
1,23,1,afternoon,I
1,25,1,afternoon,I
1,21,1,afternoon,I
1,-3,0,morning,I
1,5,0,morning,I
1,0,0,morning,I
1,24,1,morning,I
1,8,0,morning,I
1,1,0,morning,I
1,15,0,morning,I
1,6,0,morning,I
1,12,0,morning,I
1,11,0,morning,I
1,6,0,morning,I
1,1,0,morning,I
1,11,0,morning,I
1,13,0,morning,I
1,23,1,morning,I
1,5,0,morning,I
1,15,0,morning,I
1,14,0,morning,I
1,11,0,morning,I
1,-2,0,morning,I
1,10,0,morning,I
1,12,0,morning,I
1,6,0,morning,I
1,14,0,morning,I
1,64,1,morning,I
1,2,0,morning,I
1,9,0,morning,I
1,10,0,morning,I
1,29,1,morning,I
1,8,0,morning,I
1,10,0,morning,I
1,81,1,afternoon,I
1,37,1,afternoon,I
1,88,1,afternoon,I
1,96,1,afternoon,I
1,32,1,afternoon,I
1,56,1,afternoon,I
1,39,1,afternoon,I
1,32,1,afternoon,I
1,34,1,afternoon,I
1,41,1,afternoon,I
1,9,0,afternoon,I
1,126,1,afternoon,I
1,22,1,afternoon,I
1,18,1,afternoon,I
1,26,1,afternoon,I
1,16,1,afternoon,I
1,37,1,afternoon,I
1,61,1,afternoon,I
1,69,1,afternoon,I
1,31,1,afternoon,I
1,4,0,night,I
1,0,0,night,I
1,-5,0,night,I
1,-3,0,night,I
1,-2,0,night,I
1,-2,0,night,I
1,-5,0,night,I
1,7,0,night,I
1,3,0,night,I
1,13,0,night,I
1,0,0,night,I
1,3,0,night,I
1,0,0,night,I
1,4,0,night,I
1,-1,0,night,I
1,-6,0,night,I
1,11,0,night,I
1,-4,0,night,I
1,-7,0,night,I
1,8,0,night,I
1,-6,0,night,I
1,3,0,night,I
1,2,0,night,I
1,-6,0,night,I
1,-4,0,night,I
1,-3,0,night,I
1,-14,0,night,I
1,-4,0,night,I
1,-12,0,night,I
1,-11,0,night,I
1,15,0,afternoon,I
1,5,0,afternoon,I
1,9,0,afternoon,I
1,8,0,afternoon,I
1,33,1,afternoon,I
1,16,1,afternoon,I
1,25,1,afternoon,I
1,7,0,afternoon,I
1,7,0,afternoon,I
1,6,0,afternoon,I
1,6,0,afternoon,I
1,50,1,morning,I
1,7,0,afternoon,I
1,5,0,afternoon,I
1,7,0,afternoon,I
1,8,0,afternoon,I
1,-4,0,afternoon,I
1,1,0,afternoon,I
1,15,0,afternoon,I
1,7,0,afternoon,I
1,68,1,afternoon,I
1,14,0,afternoon,I
1,4,0,afternoon,I
1,14,0,afternoon,I
1,11,0,afternoon,I
1,15,0,afternoon,I
1,2,0,afternoon,I
1,10,0,afternoon,I
1,4,0,afternoon,I
1,-1,0,afternoon,I
1,17,1,afternoon,I
1,2,0,afternoon,I
1,0,0,afternoon,I
1,7,0,afternoon,I
1,-1,0,afternoon,I
1,13,0,afternoon,I
1,-3,0,afternoon,I
1,-2,0,afternoon,I
1,-2,0,afternoon,I
1,8,0,afternoon,I
1,8,0,afternoon,I
1,10,0,night,I
1,-3,0,night,I
1,11,0,night,I
1,0,0,night,I
1,9,0,night,I
1,1,0,night,I
1,-3,0,night,I
1,7,0,night,I
1,12,0,night,I
1,14,0,night,I
1,9,0,night,I
1,-2,0,night,I
1,-3,0,night,I
1,3,0,night,I
1,1,0,night,I
1,2,0,night,I
1,6,0,afternoon,I
1,13,0,afternoon,I
1,15,0,afternoon,I
1,-3,0,afternoon,I
1,88,1,afternoon,I
1,0,0,afternoon,I
1,13,0,afternoon,I
1,13,0,afternoon,I
1,5,0,afternoon,I
1,7,0,afternoon,I
1,2,0,afternoon,I
1,14,0,afternoon,I
1,7,0,afternoon,I
1,12,0,afternoon,I
1,1,0,afternoon,I
1,57,1,afternoon,I
1,26,1,afternoon,I
1,34,1,afternoon,I
1,7,0,afternoon,I
1,4,0,afternoon,I
1,3,0,afternoon,I
1,10,0,afternoon,I
1,10,0,afternoon,I
1,0,0,afternoon,I
1,22,1,afternoon,I
1,5,0,afternoon,I
1,7,0,afternoon,I
1,5,0,afternoon,I
1,10,0,afternoon,I
1,-4,0,afternoon,I
1,1,0,afternoon,I
1,-3,0,night,I
1,-2,0,night,I
1,10,0,night,I
1,6,0,night,I
1,19,1,night,I
1,2,0,night,I
1,9,0,night,I
1,2,0,night,I
1,12,0,night,I
1,3,0,night,I
1,-1,0,night,I
1,-2,0,night,I
1,2,0,night,I
1,-2,0,night,I
1,7,0,night,I
1,8,0,night,I
1,3,0,night,I
1,0,0,night,I
1,0,0,night,I
1,-8,0,night,I
1,-1,0,night,I
1,19,1,night,I
1,4,0,night,I
1,10,0,night,I
1,-4,0,night,I
1,15,0,night,I
1,0,0,night,I
1,0,0,night,I
1,6,0,night,I
1,14,0,night,I
1,-3,0,night,I
1,-3,0,night,I
1,10,0,night,I
1,2,0,night,I
1,9,0,night,I
1,-9,0,night,I
1,-5,0,night,I
1,13,0,night,I
1,17,1,night,I
1,29,1,night,I
1,-5,0,night,I
1,10,0,night,I
1,14,0,night,I
1,2,0,afternoon,I
1,16,1,afternoon,I
1,2,0,afternoon,I
1,7,0,afternoon,I
1,10,0,afternoon,I
1,10,0,afternoon,I
1,13,0,afternoon,I
1,0,0,afternoon,I
1,13,0,afternoon,I
1,5,0,afternoon,I
1,5,0,afternoon,I
1,9,0,afternoon,I
1,10,0,afternoon,I
1,6,0,afternoon,I
1,17,1,night,I
1,15,0,afternoon,I
1,27,1,afternoon,I
1,9,0,afternoon,I
1,21,1,afternoon,I
1,15,0,afternoon,I
1,7,0,afternoon,I
1,9,0,afternoon,I
1,-2,0,afternoon,I
1,18,1,afternoon,I
1,18,1,afternoon,I
1,1,0,afternoon,I
1,2,0,afternoon,I
1,3,0,afternoon,I
1,-1,0,afternoon,I
1,13,0,afternoon,I
1,-1,0,afternoon,I
1,-5,0,afternoon,I
1,60,1,night,I
1,17,1,night,I
1,12,0,night,I
1,19,1,night,I
1,44,1,night,I
1,15,0,night,I
1,15,0,night,I
1,8,0,night,I
1,1,0,night,I
1,46,1,morning,I
1,17,1,morning,I
1,14,0,morning,I
1,10,0,morning,I
1,25,1,morning,I
1,23,1,morning,I
1,0,0,morning,I
1,12,0,morning,I
1,18,1,morning,I
1,18,1,afternoon,I
1,5,0,morning,I
1,-2,0,morning,I
1,38,1,morning,I
1,4,0,morning,I
1,5,0,morning,I
1,35,1,morning,I
1,14,0,afternoon,I
1,3,0,afternoon,I
1,3,0,afternoon,I
1,11,0,afternoon,I
1,15,0,afternoon,I
1,8,0,afternoon,I
1,13,0,afternoon,I
1,15,0,afternoon,I
1,10,0,afternoon,I
1,3,0,afternoon,I
1,1,0,afternoon,I
1,-4,0,afternoon,I
1,14,0,afternoon,I
1,14,0,afternoon,I
1,9,0,afternoon,I
1,5,0,afternoon,I
1,6,0,afternoon,I
1,16,1,afternoon,I
1,4,0,afternoon,I
1,16,1,afternoon,I
1,13,0,afternoon,I
1,32,1,afternoon,I
1,-3,0,afternoon,I
1,0,0,afternoon,I
1,3,0,afternoon,I
1,25,1,afternoon,I
1,28,1,afternoon,I
1,1,0,afternoon,I
1,1,0,afternoon,I
1,17,1,afternoon,I
1,10,0,afternoon,I
1,16,1,night,I
1,6,0,night,I
1,7,0,night,I
1,6,0,night,I
1,12,0,night,I
1,15,0,night,I
1,94,1,night,I
1,19,1,night,I
1,25,1,night,I
1,23,1,night,I
1,17,1,night,I
1,8,0,night,I
1,10,0,night,I
1,26,1,night,I
1,17,1,night,I
1,16,1,night,I
1,28,1,night,I
1,12,0,night,I
1,25,1,night,I
1,2,0,night,I
1,-4,0,night,I
1,13,0,night,I
1,16,1,night,I
1,8,0,night,I
1,8,0,night,I
1,9,0,night,I
1,7,0,night,I
1,12,0,night,I
1,8,0,night,I
1,12,0,night,I
1,12,0,night,I
1,35,1,morning,I
1,11,0,morning,I
1,133,1,morning,I
1,37,1,morning,I
1,13,0,morning,I
1,13,0,morning,I
1,27,1,morning,I
1,159,1,morning,I
1,1,0,morning,I
1,15,0,morning,I
1,2,0,morning,I
1,4,0,morning,I
1,20,1,morning,I
1,14,0,morning,I
1,22,1,morning,I
1,2,0,morning,I
1,12,0,morning,I
1,3,0,morning,I
1,21,1,morning,I
1,16,1,morning,I
1,10,0,morning,I
1,8,0,morning,I
1,19,1,morning,I
1,6,0,morning,I
1,6,0,morning,I
1,13,0,morning,I
1,9,0,morning,I
1,18,1,morning,I
1,6,0,morning,I
1,25,1,morning,I
1,-2,0,afternoon,I
1,43,1,night,I
1,3,0,afternoon,I
1,12,0,afternoon,I
1,6,0,afternoon,I
1,16,1,afternoon,I
1,-1,0,afternoon,I
1,13,0,afternoon,I
1,2,0,afternoon,I
1,8,0,afternoon,I
1,11,0,afternoon,I
1,26,1,afternoon,I
1,0,0,afternoon,I
1,4,0,afternoon,I
1,4,0,afternoon,I
1,18,1,afternoon,I
1,5,0,afternoon,I
1,1,0,afternoon,I
1,-1,0,afternoon,I
